partId,title,optA,optB,optC,optD,correct
7,Chức năng nào sau đây KHÔNG phải của không bào?,Điều hoà áp suất thẩm thấu,Tổng hợp protein,Chứa chất thải hoặc sắc tố,Dự trữ muối khoáng và đường,B
7,"Một số không bào ở tế bào lá, hoa và quả có ý nghĩa nào sau đây?",Thu hút côn trùng thụ phấn và động vật phát tán hạt,Tăng cường quang hợp,Giúp tế bào phân chia nhanh hơn,Tăng khả năng hô hấp tế bào,A
7,"Không bào ở tế bào thực vật thường có kích thước lớn, chứa __ và các chất hòa tan, có vai trò duy trì __ cũng như tham gia vào quá trình trao đổi chất.",lipid; hô hấp tế bào,protein; tổng hợp DNA,nước; áp suất thẩm thấu,enzyme; quang hợp,C
8,Lưới nội chất hạt có đặc điểm nổi bật nào sau đây?,"Không có ribosome, tham gia tổng hợp protein","Có ribosome bám trên màng, tham gia tổng hợp protein",Tổng hợp lipid và tổng hợp protein,Có ribosome bám trên màng và dự trữ Ca2+,B
8,Chức năng của lưới nội chất hạt là,tổng hợp lipid và điều hoà áp suất thẩm thấu,tổng hợp protein và vận chuyển đến bộ máy Golgi,tự trữ ion Ca2+ trong tế bào cơ và phân giải chất thải trong tế bào,tổng hợp protein và chứa chất thải hoặc sắc tố,B
8,Sản phẩm protein từ lưới nội chất hạt thường được vận chuyển đến bào quan nào sau đây?,Nhân tế bào,Lysosome,Bộ máy Golgi,Lục lạp,C
9,Ribosome có đặc điểm cấu tạo nào sau đây?,"Không có màng bao bọc, dạng hình cầu","Có màng bao bọc, dạng hình cầu","Có màng bao bọc, dạng hình tròn","Không có màng bao bọc, dạng hình dẹt",A
9,Thành phần hóa học chủ yếu của ribosome là,DNA và polysaccharide,rRNA và protein,lipid và DNA,polysaccharide và lipid,B
9,Ribosome của tế bào nhân thực gồm hai tiểu đơn vị nào sau đây?,30S và 50S,40S và 60S,20S và 40S,70S và 80S,B
9,Ribosome có thể phân bố ở bào quan nào trong tế bào?,"Trong nhân tế bào, lưới nội chất trơn hoặc tự do trong tế bào chất","Trên ti thể, lưới nội chất trơn hoặc tự do trong tế bào chất","Trong lục lạp, lưới nội chất hạt hoặc tự do trong tế bào chất","Trên màng nhân, lưới nội chất hạt hoặc tự do trong tế bào chất",D
9,Chức năng chính của ribosome là,quang hợp,tổng hợp protein,dự trữ năng lượng,vận chuyển chất,B
10,Phần lớn nhân tế bào có hình dạng và kích thước nào sau đây?,"Hình cầu, đường kính khoảng 5 µm","Hình trụ, đường kính khoảng 10 µm","Hình dẹt, đường kính khoảng 2 µm","Hình bầu dục, đường kính khoảng 1 µm",A
10,Màng nhân tế bào được cấu tạo bởi,lớp đơn lipid và chitin,lớp kép phospholipid và protein,lớp polysaccharide và protein,lớp đơn phospholipid và protein,B
10,"Trong quá trình phân chia tế bào, sợi nhiễm sắc sẽ",kéo dài thành sợi mảnh,co ngắn thành nhiễm sắc thể,biến mất hoàn toàn,tách thành ribosome,B
10,Chức năng chính của nhân tế bào là,tổng hợp lipid và một số enzyme, dự trữ năng lượng và điều hòa trao đổi chất,trung tâm điều khiển các hoạt động sống của tế bào,"vận chuyển chất dinh dưỡng, ion qua màng nhân",C
11,Bộ máy Golgi có đặc điểm cấu tạo nào sau đây?,Gồm các túi dẹt nằm song song nhưng tách rời nhau,Gồm các hạt ribosome bám trên màng,Có màng kép gấp nếp tạo thành mào giống ti thể,"Chứa DNA và RNA, tự nhân đôi độc lập",A
11,Chức năng chính của bộ máy Golgi là,"quang hợp, tổng hợp đường và vận chuyển sản phẩm từ lưới nội chất","tổng hợp, phân loại và sửa đổi DNA và RNA","sửa đổi, phân loại, đóng gói và vận chuyển sản phẩm từ lưới nội chất",dự trữ tinh bột và vận chuyển sản phẩm từ lưới nội chất,C
11,"Bộ máy Golgi gồm nhiều túi màng dẹt xếp chồng lên nhau, có chức năng chính là __ và __ các sản phẩm do lưới nội chất tổng hợp trước khi vận chuyển ra ngoài hoặc đến các bào quan khác.",tổng hợp; phân giải,chế biến; đóng gói,vận chuyển; dự trữ Ca2+,phân giải; hô hấp,B
12,Khung xương tế bào gồm những thành phần nào sau đây?,"Vi sợi, sợi trung gian và vi ống","Ribosome, lưới nội chất và ti thể","Lysosome, không bào và peroxisome","Màng sinh chất, nhân và chất nền",A
12,Vai trò nào sau đây KHÔNG thuộc về khung xương tế bào?,Nâng đỡ và duy trì hình dạng tế bào,Neo giữ các bào quan và enzyme,Hình thành trung thể tham gia phân bào,Nâng đỡ và vận chuyển các enzyme,D
12,"Trong quá trình phân bào, khung xương tế bào có vai trò đặc biệt nào sau đây?",Tổng hợp lipid và enzyme,Hình thành trung thể và thoi vô sắc,Vận chuyển mRNA và ribosome,Dự trữ Ca2+ và các chất dinh dưỡng,B
13,Điểm khác biệt cơ bản giữa lưới nội chất trơn và lưới nội chất hạt là lưới nội chất trơn,có nhiều ribosome bám trên màng,không tham gia tổng hợp lipid,không liên kết với lưới nội chất hạt,không có hoặc có rất ít ribosome bám trên màng,D
13,Lưới nội chất trơn có chức năng nào sau đây?,"Tổng hợp protein, chuyển hoá đường và khử độc","Tổng hợp lipid, chuyển hoá đường, khử độc và dự trữ Ca2+","Tổng hợp DNA, chuyển hoá đường và dự trữ Ca2+","Vận chuyển RNA, khử độc và dự trữ Ca2+",B
13,Lưới nội chất trơn tham gia điều hòa đường huyết nhờ vào quá trình nào sau đây?,Tổng hợp và phân giải glycogen,Vận chuyển glucose ra ngoài tế bào,Tổng hợp protein màng,Phân giải lipid thành glucose,A
