partId,title,optA,optB,optC,optD,correct
6,Đặc điểm nào sau đây phản ánh đúng nhất về cấu trúc màng bao bọc của bào quan peroxisome?,Là bào quan được bao bọc bởi một lớp màng phospholipid kép.,Là bào quan hoàn toàn không có màng phospholipid bao bọc.,Là bào quan được bao bọc bởi một lớp màng phospholipid đơn.,Là bào quan có màng gấp nếp tạo thành các túi dẹt xếp chồng.,C
6,Peroxisome là bào quan chứa hệ enzyme đặc thù đảm nhiệm chức năng sinh lí chủ yếu nào sau đây?,Enzyme thủy phân để tiêu hóa các bào quan già cỗi và vật chất ngoại lai.,Enzyme xúc tác phân giải chất độc và phân giải các acid béo chuỗi dài.,Enzyme tổng hợp ATP để cung cấp năng lượng cho mọi hoạt động sống.,Enzyme xúc tác tổng hợp các loại lipid cấu tạo nên màng sinh chất.,B
7,Bào quan lysosome chứa chủ yếu loại enzyme nào sau đây?,Enzyme phân giải ATP.,Enzyme tổng hợp protein.,Enzyme thủy phân.,Enzyme hô hấp tế bào.,C
7,Bào quan lysosome được hình thành trực tiếp từ cấu trúc nào sau đây?,Lưới nội chất hạt.,Bộ máy Golgi.,Lưới nội chất trơn.,Trung thể.,B
8,Bào quan không bào được bao bọc bởi cấu trúc màng nào sau đây?,Một lớp màng.,Hai lớp màng.,Ba lớp màng.,Không có màng bao bọc.,A
8,Khoang bên trong màng của bào quan không bào có chứa thành phần nào sau đây?,Dịch nhân.,Lõi tinh thể cứng.,Dịch không bào.,Phân tử DNA.,C
9,Bộ máy Golgi có vai trò nào sau đây?,Tổng hợp prôtêin và lipid phục vụ cho các bào quan.,"Biến đổi, đóng gói, phân phối sản phẩm.",Tích trữ năng lượng ATP và cung cấp cho tế bào.,Thực hiện trao đổi thông tin với tế bào bên ngoài.,B
9,"Trong hệ thống nội màng, bộ máy Golgi thường có vị trí nằm kế tiếp với cấu trúc nào sau đây?",Màng sinh chất.,Lưới nội chất.,Trung thể.,Ti thể.,B
10,Khung xương tế bào ở sinh vật nhân thực là một mạng lưới được cấu tạo từ ba thành phần cơ bản nào sau đây?,"lớp kép phospholipid, protein bám màng và cholesterol.","vi ống, vi sợi và sợi trung gian.","lưới nội chất, bộ máy Golgi và túi tiết.","phân tử DNA, RNA và các hạt ribosome.",B
10,"Các vi ống, vi sợi và sợi trung gian cấu tạo nên khung xương tế bào đều là các chuỗi",phân tử lipid bện xoắn.,phân tử carbohydrate dạng sợi.,phân tử protein liên kết với nhau.,phân tử nucleic acid dạng vòng.,C
11,"Ở tế bào nhân thực, tế bào chất là vùng không gian được giới hạn bởi hai cấu trúc nào sau đây?",Màng sinh chất và màng nhân.,Thành tế bào và màng sinh chất.,Màng nhân và vùng dạng nhân.,Màng sinh chất và các bào quan.,A
11,Tế bào chất của sinh vật nhân thực bao gồm hai thành phần cấu trúc cơ bản nào sau đây?,Dịch nhân và mạng lưới nhiễm sắc thể.,Bào tương (cytosol) và hệ thống các bào quan.,Khung xương tế bào và dịch ngoại bào.,Hệ thống màng nội bào và các hạt tiết.,B
12,"Theo mô hình 'khảm - động' (fluid mosaic), thành phần cấu trúc cơ bản tạo nên bộ khung liên tục của màng sinh chất là",các phân tử protein bám màng.,lớp kép phân tử phospholipid.,các phân tử lipid dạng cholesterol.,mạng lưới các chuỗi glycoprotein.,B
12,"Trong màng sinh chất của tế bào động vật, các phân tử cholesterol nằm xen kẽ giữa các phân tử phospholipid có vai trò sinh lí chủ yếu là",nhận diện các tế bào cùng loại trong mô.,gia tăng tính ổn định của cấu trúc màng.,xúc tác cho các phản ứng sinh hóa trên màng.,tiếp nhận thông tin từ môi trường bên ngoài.,B
13,Lưới nội chất trơn chủ yếu có dạng nào sau đây?,Dạng các túi màng dẹt xếp chồng lên nhau.,Dạng các ống phân nhánh nối thông với nhau.,Dạng hạt hình cầu chứa enzyme phân giải.,Dạng hai tiểu phần lớn và nhỏ ghép lại với nhau.,B
13,Đặc điểm nào sau đây giúp phân biệt lưới nội chất trơn với lưới nội chất hạt?,Lưới nội chất trơn được cấu tạo từ hai lớp màng.,Lưới nội chất trơn không có các hạt ribosome đính trên bề mặt.,Lưới nội chất trơn có chứa các phân tử DNA dạng vòng.,Lưới nội chất trơn nằm độc lập hoàn toàn bên ngoài tế bào.,C
14,Roi của tế bào động vật có chức năng nào sau đây?,Tổng hợp protein,Vận chuyển chất trong tế bào,Giúp tế bào di chuyển,Bảo vệ tế bào,C
